refid,Journal
22,PLOS One
44,medRxiv _preprint
49,Journal of Thrombosis and Haemostasis
53,Transfusion
325,Journal of Thrombosis and Haemostasis
730,Journal of Thrombosis and Thrombolysis
734,Nature Communications
737,Asian Pacific Journal of Cancer Prevention
750,Carcinogenesis
783,Human Molecular Genetics
800,Epidemiology
804,Journal of Thrombosis and Haemostasis
816,Neurobiology of Aging
821,Journal of Bone and Joint Surgery
823,Journal of Thrombosis and Haemostasis
824,Thrombosis Research
828,Transfusion Medicine and Hemotherapy
839,Blood
866,BMC Cancer
927,BMC Genomics
1071,Blood
1127,Journal of Thrombosis and Haemostasis
1191,Frontiers in Medicine
1192,Legal Medicine
1226,Immunohematology
1310,Diabetes
1356,Pharmacogenetics and Genomics
1614,International Journal of Cancer
1656,American Journal of Reproductive Immunology
1680,New England Journal of Medicine
1753,Journal of Clinical Laboratory Analysis
1768,Journal of Clinical Pharmacy and Therapeutics
1777,Annals of Human Genetics
1785,Journal of Infectious Diseases
1797,Blood
1838,Australian Journal of Forensic Sciences
1846,Legal Medicine
1848,npj Genomic Medicine
1850,Journal of Forensic Sciences
1874,Journal of Thrombosis and Haemostasis
1948,Annals of Human Genetics
1950,Journal of Thrombosis and Haemostasis
7,Neurology
10,Cancer Science
11,Journal of Thrombosis and Haemostasis
25,Pancreas
40,Journal of Epidemiology
48,Cancer Research
60,Blood Coagulation & Fibrinolysis
65,"Cancer Epidemiology, Biomarkers & Prevention"
89,Journal of Nutrition
98,Cancer Medicine
102,Nature Genetics
139,Human Genome Variation
252,medRxiv _preprint
264,Neurology
277,Blood
279,Central European Journal of Biology
283,PLOS One
304,International Journal of Cancer
355,Nature Genetics
373,Human Molecular Genetics
402,"Cancer Epidemiology, Biomarkers & Prevention"
444,PLOS Medicine
559,PLOS One
882,The Pharmacogenomics Journal
904,Transfusion
934,Journal of Thrombosis and Haemostasis
943,PLOS One
950,PLOS One
953,International Journal of Cancer
973,Cancer Medicine
1022,Journal of Crohn's and Colitis
1025,Human Molecular Genetics
1032,Journal of Medical Genetics
1036,Thrombosis and Haemostasis
1039,Psychiatry Research
1044,International Journal of Cancer
1083,"Arteriosclerosis, Thrombosis, and Vascular Biology"
1124,International Journal of Cardiology
1139,American Journal of Hematology
1149,J Thromb Haemost
1183,Journal of Thrombosis and Haemostasis
1195,PLOS One
1200,Transfusion
1211,Blood
1218,PLOS One
1229,Annals of Neurology
1252,World Journal of Gastroenterology
1266,Journal of Thrombosis and Haemostasis
1286,"Blood Cells, Molecules and Diseases"
1303,BMC Genomics
1305,Cancer Medicine
1308,BMC Medicine
1315,PLOS One
1366,Malaria Journal
1372,TH Open
1381,The Prostate
1406,PLOS One
1458,"Cancer Epidemiology, Biomarkers & Prevention"
1461,PLOS One
1517,Journal of Thrombosis and Haemostasis
1530,Journal of Clinical Lipidology
1533,PLOS Genetics
1540,"Arteriosclerosis, Thrombosis, and Vascular Biology"
1558,Journal of Hepatology
1561,Human Molecular Genetics
1565,Cancer Causes and Control
1574,Human Molecular Genetics
1576,Nature Genetics
1599,"Infection, Genetics and Evolution"
1608,American Journal of Epidemiology
1613,Oncology Reports
1634,Nature Genetics
1635,BMC Medical Genetics
1647,Journal of Thrombosis and Haemostasis
1661,The Journal of Clinical Endocrinology and Metabolism
1668,Nature Communications
1705,Journal of Medical Genetics
1706,Journal of Thrombosis and Haemostasis
1724,Thrombosis Research
1763,American Journal of Hematology
1764,Cancer Science
1766,Nature Genetics
1795,PLOS One
1803,PLOS One
1813,Genes & Immunity
1853,Gut
1888,"Cancer Epidemiology, Biomarkers & Prevention"
1893,Communications Biology
1906,Blood Coagulation & Fibrinolysis
1912,International Journal of Immunogenetics
1926,Journal of Gastroenterology and Hepatology
1963,Gut
1967,Human Molecular Genetics
1970,Aging Medicine
